,topmost,bottommost,left,right,above,below,normTop,normLeft,normBottom,normRight,wordWidth,wordHeight,wordArea,standardisedText,isTitle_heightBased,isTitle_hOCRBased,isSum,isProduct,isMathElement
Amount_135_1583,Statement_1193_126,business!_910_1754,,Enclosed_224_1583,Amount_135_1542,,0.7195,0.0794,0.7268,0.0977,80,16,1280,Cccccc,False,False,False,False,False
Enclosed_224_1583,Statement_1193_126,business!_910_1754,Amount_135_1583,S$_461_1583,Due_224_1542,,0.7195,0.1318,0.7268,0.1409,86,16,1376,Cccccccc,False,False,False,False,False
S$_461_1583,Statement_1193_126,business!_910_1754,Enclosed_224_1583,,S$_461_1541,,0.7195,0.2712,0.7295,0.2145,11,22,242,Cp,False,False,False,False,False
149.19_483_1586,Statement_1193_126,business!_910_1754,,,149.19_483_1544,,0.7209,0.2841,0.7282,0.2523,72,16,1152,dddpdd,False,False,False,False,False
Make_608_1711,Statement_1193_126,business!_910_1754,,all_670_1711,,,0.7777,0.3576,0.785,0.3,52,16,832,Cccc,False,False,False,False,False
all_670_1711,Statement_1193_126,business!_910_1754,Make_608_1711,checks_703_1711,,Thank_687_1754,0.7777,0.3941,0.785,0.3159,25,16,400,ccc,False,False,False,False,False
checks_703_1711,Statement_1193_126,business!_910_1754,all_670_1711,payable_781_1711,,Thank_687_1754,0.7777,0.4135,0.785,0.3505,68,16,1088,cccccc,False,False,False,False,False
payable_781_1711,Statement_1193_126,business!_910_1754,checks_703_1711,,,for_814_1754,0.7777,0.4594,0.7868,0.3918,81,20,1620,ccccccc,False,False,False,False,False
to_871_1713,Statement_1193_126,business!_910_1754,,Hawkins_902_1711,,your_852_1760,0.7786,0.5124,0.785,0.405,20,14,280,cc,False,False,False,False,False
Hawkins_902_1711,Statement_1193_126,business!_910_1754,to_871_1713,and_997_1711,,business!_910_1754,0.7777,0.5306,0.785,0.4486,85,16,1360,Ccccccc,False,False,False,False,False
and_997_1711,Statement_1193_126,business!_910_1754,Hawkins_902_1711,Sons_1043_1711,,,0.7777,0.5865,0.785,0.4695,36,16,576,ccc,False,False,False,False,False
Sons_1043_1711,Statement_1193_126,business!_910_1754,and_997_1711,,,,0.7777,0.6135,0.785,0.4964,49,16,784,Cccc,False,False,False,False,False
Thank_687_1754,Statement_1193_126,business!_910_1754,,,checks_703_1711,,0.7973,0.4041,0.8068,0.345,72,21,1512,Ccccc,False,False,False,False,False
you_765_1760,Statement_1193_126,business!_910_1754,,,payable_781_1711,,0.8,0.45,0.8091,0.3673,43,20,860,ccc,False,False,False,False,False
for_814_1754,Statement_1193_126,business!_910_1754,,,payable_781_1711,,0.7973,0.4788,0.8068,0.3855,34,21,714,ccc,False,False,False,False,False
your_852_1760,Statement_1193_126,business!_910_1754,,,to_871_1713,,0.8,0.5012,0.8091,0.4118,54,20,1080,cccc,False,False,False,False,False
business!_910_1754,Statement_1193_126,business!_910_1754,,,Hawkins_902_1711,,0.7973,0.5353,0.8068,0.4641,111,21,2331,ccccccccp,False,False,False,False,False
